County,FIPS code,County seat,Est,Formed from,Etymology,General Law or Charter,Population,Area_sqmi,Area_km2
Napa,055,Napa,1850,original,Disputed origin; possibly derived from the Patwin word napo meaning "home".,General Law,137744,754,1953
Monterey,053,Salinas,1850,original,Derived from Monterey Bay which was named for a Viceroy of New Spain Gaspar de Zúñiga 5th Count of Monterrey.,General Law,434061,3322,8604
Mono,051,Bridgeport,1861,Calaveras Fresno and Mariposa,Mono Lake; derived from Monachi a Yokut name for native peoples of the Sierra Nevada.,General Law,14444,3044,7884
Modoc,049,Alturas,1874,Siskiyou,The Modoc people.,General Law,8841,3944,10215
Merced,047,Merced,1855,Mariposa,The city of Merced derived from the original Spanish name El Río de Nuestra Señora de la Merced ("River of Our Lady of Mercy").,General Law,277680,1929,4996
Mendocino,045,Ukiah,1850,original,Antonio de Mendoza first viceroy of New Spain.,General Law,86749,3509,9088
Mariposa,043,Mariposa,1850,original,The city of Mariposa; mariposa is Spanish for "butterfly".,General Law,17203,1451,3758
Marin,041,San Rafael,1850,original,Exact etymology disputed; probably a corrupted abbreviation of Bahía de Nuestra Señora del Rosario la Marina the Spanish name for area headlands along San Francisco Bay.,General Law,258826,520,1347
Madera,039,Madera,1893,Mariposa,The city of Madera which was named for the forested landscape; madera is Spanish for "wood".,General Law,157327,2138,5537
Los Angeles,037,Los Angeles,1850,original,The city of Los Angeles derived from the original Spanish name El Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula ("The Village of Our Lady the Queen of the Angels of the River of Porziuncola").,Charter,10039107,4060,10515
Lassen,035,Susanville,1864,Plumas and Shasta and now defunct Lake County Nevada,Peter Lassen a Danish naturalist and explorer.,General Law,30573,4558,11805
Lake,033,Lakeport,1861,Napa,Clear Lake.,General Law,64386,1258,3258
Kings,031,Hanford,1893,Tulare,Kings River; original Spanish name Rio de los Santos Reyes ("River of the Holy Kings").,General Law,152940,1390,3600
Kern,029,Bakersfield,1866,Los Angeles and Tulare,Edward Kern cartographer for John C. Fremont's 1845 expedition.,General Law,900202,8142,21088
Inyo,027,Independence,1866,Mono and Tulare,Exact etymology disputed; early settlers believed Inyo to be the native name for area mountains but it may be the name of a Mono Indian leader.,General Law,18039,10192,26397
Imperial,025,El Centro,1907,San Diego,Imperial Valley named after the Imperial Land Company.,General Law,181215,4175,10813
Humboldt,023,Eureka,1853,Trinity,Alexander von Humboldt a German naturalist and explorer.,General Law,135558,3573,9254
Glenn,021,Willows,1891,Colusa,Dr. Hugh J. Glenn a California businessman and politician.,General Law,28393,1315,3406
Fresno,019,Fresno,1856,Mariposa Merced and Tulare,The city of Fresno; fresno is Spanish for "ash tree".,Charter,999101,5963,15444
El Dorado,017,Placerville,1850,original,El Dorado a mythical city of gold owing to the area's significance in the California Gold Rush.,Charter,192843,1712,4434
Del Norte,015,Crescent City,1857,Klamath,Location along California's northern border; del norte is Spanish for "northern".,General Law,27812,1008,2611
Contra Costa,013,Martinez,1850,original,Location across San Francisco Bay from San Francisco; contra costa is Spanish for "opposite coast".,General Law,1153526,720,1865
Colusa,011,Colusa,1850,original,Rancho Colus land grant from Mexico.,General Law,21547,1151,2981
Calaveras,009,San Andreas,1850,original,Calaveras River; calaveras is Spanish for "skulls".,General Law,45905,1020,2642
Butte,007,Oroville,1850,original,Sutter Buttes which were mistakenly thought to be in the county at the time of its establishment.,Charter,219186,1640,4248
Amador,005,Jackson,1854,Calaveras,Jose Maria Amador (1794–1883) a soldier rancher and miner who along with several Native Americans established a successful gold mining camp near present-day Amador City in 1848.,General Law,39752,606,1570
Alpine,003,Markleeville,1864,Amador El Dorado Calaveras Mono and Tuolumne,Location high in the Sierra Nevada; alpine refers to the Alps or other mountains.,General Law,1129,739,1914
Alameda,001,Oakland,1853,Contra Costa and Santa Clara,The oak and other trees once abundant in the region; alameda is Spanish for "avenue shaded by trees" or "cottonwood grove".,Charter,1671329,738,1911
